iter	Passed	Remaining
0	11	11110
1	24	12328
2	34	11617
3	51	12803
4	66	13318
5	92	15259
6	104	14831
7	113	14033
8	119	13162
9	124	12306
10	130	11736
11	137	11359
12	143	10896
13	149	10519
14	156	10300
15	165	10158
16	170	9876
17	176	9654
18	183	9483
19	192	9442
20	200	9325
21	209	9305
22	214	9132
23	220	8948
24	225	8789
25	230	8631
26	236	8506
27	242	8420
28	247	8298
29	253	8185
30	260	8136
31	267	8077
32	272	7991
33	280	7971
34	285	7871
35	299	8018
36	318	8285
37	337	8551
38	360	8892
39	386	9272
40	406	9514
41	428	9763
42	444	9893
43	463	10071
44	476	10107
45	483	10033
46	491	9969
47	501	9949
48	519	10085
49	532	10120
50	541	10084
51	554	10109
52	564	10093
53	589	10323
54	602	10356
55	610	10290
56	639	10586
57	645	10480
58	652	10413
59	661	10366
60	676	10411
61	683	10346
62	692	10300
63	706	10326
64	711	10231
65	725	10260
66	734	10223
67	741	10162
68	747	10086
69	753	10010
70	758	9926
71	764	9850
72	770	9778
73	774	9694
74	780	9630
75	788	9582
76	795	9532
77	803	9492
78	809	9438
79	816	9391
80	824	9350
81	843	9444
82	854	9438
83	958	10448
84	988	10636
85	1003	10664
86	1016	10666
87	1028	10655
88	1143	11699
89	1177	11910
90	1202	12011
91	1226	12102
92	1256	12256
93	1267	12216
94	1276	12159
95	1303	12273
96	1329	12380
97	1342	12355
98	1351	12300
99	1357	12215
100	1362	12123
101	1368	12049
102	1377	12000
103	1384	11928
104	1397	11909
105	1404	11842
106	1410	11769
107	1417	11703
108	1424	11640
109	1436	11621
110	1441	11547
111	1446	11470
112	1453	11409
113	1458	11336
114	1463	11263
115	1470	11202
116	1474	11131
117	1480	11065
118	1490	11034
119	1495	10969
120	1502	10915
121	1507	10849
122	1512	10784
123	1521	10749
124	1526	10684
125	1532	10629
126	1537	10567
127	1541	10504
128	1547	10449
129	1552	10393
130	1557	10333
131	1563	10283
132	1569	10231
133	1574	10176
134	1583	10144
135	1590	10105
136	1596	10057
137	1602	10008
138	1607	9954
139	1613	9910
140	1618	9863
141	1623	9811
142	1630	9769
143	1635	9722
144	1642	9682
145	1648	9643
146	1653	9595
147	1659	9556
148	1665	9512
149	1670	9466
150	1684	9473
151	1692	9444
152	1699	9406
153	1703	9360
154	1712	9335
155	1719	9302
156	1730	9292
157	1742	9287
158	1754	9279
159	1766	9274
160	1775	9254
161	1789	9257
162	1800	9245
163	1811	9232
164	1819	9207
165	1830	9196
166	1843	9197
167	1852	9171
168	1864	9170
169	1876	9162
170	1888	9155
171	1900	9147
172	1911	9136
173	1926	9144
174	1938	9138
175	1945	9107
176	1952	9078
177	1961	9059
178	1975	9059
179	1984	9042
180	1992	9017
181	2000	8990
182	2010	8977
183	2020	8959
184	2027	8933
185	2035	8906
186	2045	8892
187	2055	8876
188	2063	8855
189	2075	8846
190	2087	8842
191	2100	8837
192	2109	8818
193	2116	8792
194	2122	8763
195	2128	8729
196	2134	8700
197	2139	8667
198	2144	8631
199	2150	8603
200	2155	8569
201	2160	8536
202	2167	8509
203	2172	8475
204	2176	8442
205	2183	8416
206	2188	8383
207	2193	8352
208	2203	8340
209	2208	8307
210	2215	8283
211	2238	8320
212	2244	8293
213	2250	8265
214	2255	8234
215	2260	8204
216	2266	8178
217	2271	8148
218	2277	8120
219	2282	8093
220	2287	8063
221	2293	8036
222	2302	8022
223	2308	7997
224	2313	7970
225	2318	7941
226	2325	7917
227	2331	7893
228	2336	7865
229	2341	7840
230	2348	7817
231	2352	7788
232	2359	7766
233	2364	7741
234	2369	7713
235	2375	7690
236	2381	7668
237	2386	7641
238	2394	7623
239	2402	7606
240	2408	7583
241	2415	7566
242	2421	7542
243	2433	7540
244	2458	7577
245	2492	7641
246	2518	7678
247	2545	7718
248	2564	7733
249	2581	7744
250	2603	7769
251	2632	7812
252	2657	7845
253	2669	7841
254	2687	7852
255	2700	7848
256	2720	7864
257	2753	7918
258	2768	7921
259	2777	7905
260	2791	7903
261	2807	7909
262	2826	7921
263	2835	7904
264	2843	7887
265	2850	7865
266	2856	7842
267	2861	7816
268	2866	7790
269	2873	7768
270	2878	7742
271	2883	7718
272	2892	7702
273	2898	7679
274	2904	7658
275	2911	7636
276	2917	7614
277	2923	7592
278	2928	7567
279	2934	7546
280	2940	7524
281	2945	7499
282	2952	7479
283	2957	7455
284	2962	7431
285	2968	7411
286	2980	7405
287	2991	7396
288	2997	7375
289	3003	7354
290	3008	7330
291	3014	7309
292	3021	7291
293	3028	7273
294	3034	7252
295	3039	7228
296	3045	7207
297	3050	7186
298	3055	7164
299	3061	7142
300	3068	7125
301	3073	7104
302	3080	7087
303	3088	7070
304	3092	7047
305	3099	7029
306	3104	7007
307	3109	6985
308	3115	6967
309	3120	6946
310	3127	6928
311	3132	6908
312	3137	6886
313	3142	6865
314	3148	6847
315	3153	6825
316	3158	6804
317	3165	6789
318	3171	6770
319	3181	6761
320	3187	6741
321	3193	6723
322	3199	6705
323	3204	6685
324	3210	6667
325	3219	6655
326	3228	6645
327	3233	6624
328	3238	6605
329	3245	6588
330	3250	6569
331	3255	6549
332	3262	6534
333	3268	6516
334	3278	6507
335	3284	6491
336	3290	6474
337	3296	6457
338	3301	6438
339	3307	6421
340	3315	6406
341	3323	6394
342	3330	6378
343	3335	6360
344	3344	6350
345	3349	6331
346	3356	6317
347	3365	6305
348	3373	6292
349	3382	6281
350	3388	6265
351	3394	6248
352	3398	6229
353	3404	6213
354	3411	6197
355	3417	6181
356	3424	6167
357	3429	6149
358	3433	6131
359	3440	6117
360	3445	6099
361	3450	6081
362	3456	6065
363	3464	6052
364	3478	6050
365	3484	6035
366	3490	6020
367	3495	6003
368	3500	5985
369	3507	5972
370	3512	5955
371	3518	5940
372	3524	5924
373	3528	5906
374	3535	5892
375	3541	5876
376	3546	5860
377	3552	5844
378	3557	5829
379	3562	5812
380	3569	5799
381	3577	5786
382	3581	5769
383	3588	5756
384	3594	5741
385	3600	5726
386	3606	5712
387	3610	5695
388	3616	5680
389	3622	5665
390	3627	5649
391	3633	5635
392	3639	5621
393	3644	5605
394	3650	5590
395	3656	5576
396	3660	5560
397	3669	5550
398	3677	5539
399	3684	5526
400	3689	5511
401	3694	5495
402	3700	5482
403	3707	5468
404	3718	5462
405	3723	5447
406	3728	5432
407	3734	5418
408	3739	5402
409	3744	5388
410	3750	5375
411	3755	5360
412	3761	5346
413	3771	5338
414	3776	5323
415	3782	5310
416	3787	5295
417	3794	5282
418	3801	5271
419	3807	5257
420	3814	5245
421	3819	5231
422	3823	5215
423	3830	5203
424	3835	5188
425	3839	5173
426	3846	5161
427	3851	5146
428	3856	5132
429	3865	5124
430	3871	5110
431	3877	5098
432	3882	5084
433	3887	5070
434	3893	5057
435	3899	5043
436	3903	5029
437	3909	5016
438	3915	5003
439	3920	4989
440	3926	4976
441	3932	4964
442	3937	4951
443	3943	4938
444	3949	4925
445	3961	4920
446	3965	4906
447	3970	4892
448	3980	4885
449	3985	4871
450	3992	4860
451	3997	4846
452	4002	4832
453	4009	4821
454	4014	4808
455	4020	4795
456	4025	4783
457	4032	4772
458	4038	4760
459	4044	4747
460	4048	4733
461	4053	4720
462	4060	4709
463	4064	4695
464	4071	4684
465	4079	4674
466	4084	4661
467	4090	4650
468	4095	4636
469	4099	4623
470	4105	4611
471	4111	4598
472	4115	4585
473	4122	4574
474	4127	4561
475	4131	4548
476	4140	4539
477	4145	4526
478	4151	4515
479	4157	4503
480	4162	4490
481	4169	4480
482	4177	4471
483	4183	4460
484	4189	4448
485	4195	4437
486	4206	4430
487	4211	4418
488	4217	4406
489	4222	4395
490	4227	4382
491	4233	4371
492	4239	4360
493	4244	4347
494	4250	4336
495	4256	4325
496	4261	4312
497	4272	4306
498	4276	4294
499	4283	4283
500	4289	4272
501	4294	4260
502	4300	4249
503	4305	4237
504	4310	4225
505	4316	4214
506	4321	4202
507	4326	4189
508	4331	4178
509	4337	4167
510	4342	4155
511	4347	4144
512	4354	4133
513	4359	4122
514	4370	4116
515	4376	4105
516	4382	4094
517	4388	4083
518	4393	4071
519	4400	4061
520	4405	4050
521	4410	4038
522	4417	4028
523	4422	4017
524	4427	4005
525	4434	3995
526	4440	3985
527	4453	3981
528	4459	3970
529	4472	3965
530	4490	3965
531	4512	3969
532	4556	3992
533	4593	4008
534	4636	4030
535	4653	4028
536	4668	4024
537	4682	4020
538	4707	4026
539	4720	4021
540	4735	4017
541	4745	4010
542	4754	4001
543	4764	3993
544	4785	3995
545	4800	3991
546	4813	3986
547	4896	4038
548	4905	4029
549	4914	4021
550	4927	4015
551	4934	4004
552	4949	4000
553	4954	3988
554	4961	3977
555	4966	3966
556	4971	3953
557	4977	3942
558	4982	3930
559	4988	3919
560	4994	3908
561	4999	3896
562	5005	3884
563	5010	3873
564	5015	3861
565	5020	3849
566	5030	3841
567	5036	3830
568	5043	3820
569	5057	3814
570	5063	3804
571	5071	3794
572	5077	3783
573	5082	3771
574	5088	3760
575	5094	3749
576	5099	3738
577	5111	3731
578	5121	3723
579	5129	3714
580	5135	3703
581	5141	3692
582	5146	3680
583	5152	3669
584	5157	3658
585	5162	3647
586	5167	3635
587	5173	3624
588	5178	3613
589	5186	3604
590	5194	3594
591	5200	3583
592	5205	3572
593	5210	3561
594	5215	3550
595	5226	3542
596	5231	3531
597	5238	3521
598	5242	3509
599	5247	3498
600	5253	3488
601	5258	3476
602	5263	3465
603	5269	3455
604	5274	3443
605	5279	3432
606	5285	3421
607	5290	3411
608	5295	3400
609	5304	3391
610	5314	3383
611	5323	3374
612	5329	3364
613	5338	3356
614	5344	3345
615	5350	3335
616	5355	3324
617	5360	3313
618	5366	3303
619	5371	3292
620	5376	3281
621	5383	3271
622	5388	3260
623	5394	3250
624	5400	3240
625	5404	3229
626	5411	3219
627	5417	3209
628	5422	3198
629	5436	3192
630	5444	3183
631	5449	3173
632	5454	3162
633	5460	3152
634	5466	3142
635	5471	3131
636	5477	3121
637	5484	3112
638	5490	3101
639	5497	3092
640	5502	3081
641	5506	3070
642	5513	3060
643	5517	3050
644	5523	3039
645	5533	3032
646	5538	3022
647	5545	3012
648	5550	3002
649	5555	2991
650	5562	2981
651	5567	2971
652	5572	2961
653	5578	2951
654	5583	2940
655	5588	2930
656	5594	2920
657	5599	2910
658	5604	2899
659	5610	2890
660	5618	2881
661	5638	2878
662	5647	2870
663	5660	2864
664	5668	2855
665	5689	2853
666	5697	2844
667	5705	2835
668	5712	2826
669	5717	2816
670	5731	2810
671	5738	2800
672	5745	2791
673	5754	2783
674	5765	2776
675	5771	2766
676	5777	2756
677	5781	2745
678	5787	2736
679	5793	2726
680	5798	2716
681	5804	2706
682	5809	2696
683	5814	2686
684	5823	2678
685	5830	2668
686	5836	2658
687	5842	2649
688	5847	2639
689	5853	2629
690	5859	2620
691	5864	2610
692	5870	2600
693	5876	2590
694	5880	2580
695	5887	2571
696	5892	2561
697	5897	2551
698	5903	2542
699	5908	2532
700	5913	2522
701	5927	2516
702	5936	2508
703	5941	2498
704	5946	2488
705	5952	2478
706	5957	2469
707	5962	2459
708	5968	2449
709	5973	2440
710	5978	2430
711	5984	2420
712	5989	2410
713	5994	2401
714	6000	2391
715	6006	2382
716	6011	2372
717	6020	2364
718	6026	2355
719	6031	2345
720	6037	2336
721	6042	2326
722	6048	2317
723	6053	2307
724	6058	2298
725	6064	2288
726	6069	2279
727	6074	2269
728	6079	2259
729	6085	2250
730	6090	2241
731	6095	2231
732	6101	2222
733	6105	2212
734	6111	2203
735	6121	2195
736	6126	2186
737	6132	2177
738	6137	2167
739	6142	2158
740	6148	2149
741	6153	2139
742	6159	2130
743	6170	2123
744	6176	2114
745	6182	2104
746	6187	2095
747	6193	2086
748	6199	2077
749	6203	2067
750	6211	2059
751	6219	2051
752	6225	2042
753	6231	2033
754	6236	2023
755	6242	2014
756	6247	2005
757	6252	1996
758	6258	1987
759	6264	1978
760	6268	1968
761	6273	1959
762	6279	1950
763	6284	1941
764	6289	1931
765	6295	1923
766	6300	1914
767	6307	1905
768	6317	1897
769	6321	1888
770	6328	1879
771	6333	1870
772	6337	1861
773	6344	1852
774	6349	1843
775	6354	1834
776	6360	1825
777	6365	1816
778	6370	1807
779	6376	1798
780	6381	1789
781	6386	1780
782	6392	1771
783	6397	1762
784	6402	1753
785	6419	1747
786	6425	1738
787	6430	1730
788	6436	1721
789	6442	1712
790	6447	1703
791	6453	1694
792	6458	1685
793	6463	1677
794	6470	1668
795	6475	1659
796	6480	1650
797	6487	1642
798	6493	1633
799	6498	1624
800	6508	1616
801	6513	1608
802	6519	1599
803	6525	1590
804	6530	1581
805	6536	1573
806	6542	1564
807	6547	1555
808	6553	1547
809	6558	1538
810	6564	1529
811	6570	1521
812	6575	1512
813	6580	1503
814	6586	1495
815	6591	1486
816	6598	1477
817	6607	1470
818	6612	1461
819	6618	1452
820	6624	1444
821	6629	1435
822	6635	1427
823	6640	1418
824	6645	1409
825	6650	1400
826	6660	1393
827	6667	1385
828	6673	1376
829	6677	1367
830	6684	1359
831	6689	1350
832	6694	1342
833	6702	1334
834	6708	1325
835	6714	1317
836	6720	1308
837	6725	1300
838	6730	1291
839	6738	1283
840	6744	1275
841	6752	1267
842	6757	1258
843	6763	1250
844	6769	1241
845	6774	1233
846	6781	1224
847	6786	1216
848	6791	1207
849	6800	1200
850	6806	1191
851	6813	1183
852	6818	1175
853	6823	1166
854	6829	1158
855	6835	1149
856	6840	1141
857	6847	1133
858	6852	1124
859	6857	1116
860	6864	1108
861	6869	1099
862	6874	1091
863	6880	1083
864	6885	1074
865	6891	1066
866	6901	1058
867	6912	1051
868	6919	1043
869	6925	1034
870	6931	1026
871	6936	1018
872	6942	1010
873	6948	1001
874	6953	993
875	6959	985
876	6965	976
877	6970	968
878	6976	960
879	6982	952
880	6987	943
881	6993	935
882	6998	927
883	7002	918
884	7013	911
885	7017	902
886	7023	894
887	7029	886
888	7033	878
889	7039	870
890	7045	861
891	7049	853
892	7055	845
893	7060	837
894	7065	828
895	7070	820
896	7076	812
897	7081	804
898	7087	796
899	7092	788
900	7097	779
901	7102	771
902	7112	764
903	7117	755
904	7124	747
905	7129	739
906	7135	731
907	7143	723
908	7153	716
909	7158	707
910	7163	699
911	7169	691
912	7175	683
913	7179	675
914	7186	667
915	7191	659
916	7196	651
917	7206	643
918	7212	635
919	7218	627
920	7224	619
921	7229	611
922	7235	603
923	7241	595
924	7246	587
925	7252	579
926	7258	571
927	7263	563
928	7269	555
929	7274	547
930	7279	539
931	7286	531
932	7291	523
933	7297	515
934	7306	507
935	7311	499
936	7318	492
937	7324	484
938	7329	476
939	7335	468
940	7340	460
941	7346	452
942	7352	444
943	7357	436
944	7364	428
945	7369	420
946	7374	412
947	7380	404
948	7390	397
949	7400	389
950	7406	381
951	7412	373
952	7418	365
953	7423	357
954	7429	350
955	7435	342
956	7440	334
957	7447	326
958	7452	318
959	7458	310
960	7465	302
961	7471	295
962	7477	287
963	7483	279
964	7488	271
965	7497	263
966	7504	256
967	7510	248
968	7516	240
969	7521	232
970	7527	224
971	7533	217
972	7538	209
973	7544	201
974	7550	193
975	7555	185
976	7561	178
977	7566	170
978	7571	162
979	7577	154
980	7583	146
981	7587	139
982	7599	131
983	7604	123
984	7609	115
985	7615	108
986	7620	100
987	7626	92
988	7634	84
989	7643	77
990	7647	69
991	7652	61
